,Headline,Snippet,Lead paragraph,Source,Date
56,ByteDance Said to Offer to Sell TikTok’s U.S. Operations,The Trump administration has said the video app poses security concerns because of its Chinese ownership.,"ByteDance, the Chinese internet giant that owns TikTok, has offered to sell all of the popular video app’s American operations as a way to save the business from being banned by the Trump administration, a person with knowledge of the matter said on Saturday.",The New York Times,2020-08-01 14:40:31+00:00
57,"Edmonton, ‘City of Champions,’ Readies for a Hockey Marathon","The N.H.L. chose the small-market, hockey-mad city as one of two “hub cities” — along with Toronto — to host its playoffs.","EDMONTON, Alberta — It is said that hockey is the heartbeat of Alberta’s capital city. If that’s so then the 2020 N.H.L. playoffs are like a defibrillator that has shocked the city’s rhythm back to life.",The New York Times,2020-08-01 07:00:11+00:00
58,This Sledding Team Trained Hard for Gold in 2010. Some Members Regret It.,"In skeleton, the headfirst Olympic sledding sport, the opportunity for unlimited training on the track can be a huge advantage. But Canadian Olympians who had such access believe it was bad for their brains.","The chance to host the 2010 Winter Games was supposed to be a godsend for Canadian athletes who compete in skeleton, the headfirst sled run down a twisting track.",The New York Times,2020-08-01 09:00:27+00:00
59,"Trump Reverses Course on TikTok, Opening Door to Microsoft Bid","The president said he did not object to a potential acquisition of the Chinese-owned app, retreating from comments about banning the service.","WASHINGTON — President Trump gave the go-ahead for Microsoft to pursue an acquisition of TikTok, in his first public comments about the popular Chinese-owned video app after he had threatened to ban it from the United States entirely.",The New York Times,2020-08-03 17:48:05+00:00
60,The business news to watch in the week ahead.,,"🤝 American lawmakers are haggling over a new stimulus bill, with the shape of supplemental jobless benefits — which expired last week — the biggest sticking point. Democrats are pushing for a $3 trillion package that extends many of the previous measures, while Republicans have aimed for a narrower bill worth around $1 trillion.",The New York Times,2020-08-03 10:47:15+00:00
61,Men’s Wearhouse Owner Files for Bankruptcy,"Tailored Brands, known for its clothing chains Men’s Wearhouse and JoS. A. Bank, struggled as the pandemic shut stores and consumer demand for office attire dropped.","The owner of Men’s Wearhouse and JoS. A. Bank, which once dominated the market for affordable men’s suits, filed for bankruptcy protection late Sunday, as demand plummeted for its corporate clothing with the coronavirus pandemic keeping America’s office workers at home.",The New York Times,2020-08-03 05:07:22+00:00
62,"Mexico Seizes Crime Boss El Marro, Under Pressure to Cut Violence","While the arrest of José Antonio Yépez delivers a major blow to a cartel, analysts say officials lack a cohesive strategy against debilitating crime.","MEXICO CITY — The Mexican federal authorities captured José Antonio Yépez, the criminal boss known as El Marro, on Sunday, landing a major blow against a cartel whose struggle for control helped spur record violence in the midst of the coronavirus pandemic.",The New York Times,2020-08-02 21:47:01+00:00
63,Sotheby’s Reports $2.5 Billion in Sales,"The auction house says that figure reflects a “resilient” market amid the coronavirus. But it represents a 25 percent decrease in auction sales, analysts say.","Sotheby’s, the international auction house bought in 2019 by the telecommunications magnate Patrick Drahi, reported Monday that it has sold $2.5 billion of art and collectibles so far this year.",The New York Times,2020-08-03 16:43:18+00:00
64,Florida’s Summer of Dread,"The coronavirus had entrenched itself in communities from Pensacola to Key West, killing more than 7,000 Floridians. Then came Tropical Storm Isaias.","MIAMI — The crowded grocery stores, empty shelves and barren streets of South Florida in the dawning days of the coronavirus pandemic felt unsettlingly familiar: They resembled the rush of preparations and then the tense silence that precede a hurricane.",The New York Times,2020-08-02 09:00:08+00:00
65,Israeli Court Rebukes Prime Minister’s Son Over Harassing Protest Leaders,Yair Netanyahu tweeted the addresses and phone numbers of three men who led protests against his father’s administration. All three said they later received death threats.,TEL AVIV — An Israeli court on Sunday ordered Prime Minister Benjamin Netanyahu’s older son to stop harassing three people helping to lead protests against his father’s administration after he tweeted out their home addresses and cellphone numbers.,The New York Times,2020-08-02 22:39:02+00:00
66,"As the Virus Spreads Through M.L.B., So Does Frustration","Series have been postponed, teams have been quarantined, and road trips have been rerouted in a season that has been defined above all by its precariousness.","Major League Baseball is like a beleaguered landlord with 30 frightened tenants. Flooding in one apartment damages several others. The pipes get fixed, and then mold spreads in the room down the hall. Nobody wants to condemn the building, but everyone knows it might collapse.",The New York Times,2020-08-03 23:16:39+00:00
67,Venture fund-raising is alive and (relatively) well.,,The coronavirus has made it more difficult for entrepreneurs to raise money. But for many companies — from established businesses to smaller start-ups — the pandemic hasn’t prevented them from finding investors willing to open their wallets.,The New York Times,2020-08-03 13:49:07+00:00
68,"With Jobless Aid Expired, Trump Sidelines Himself in Stimulus Talks","As his top advisers met with Democratic leaders to try to hash out a compromise, President Trump hurled insults at Democrats and mused aloud about short-circuiting the talks and acting on his own.","On the first day of the first full week when tens of millions of Americans went without the federal jobless aid that has cushioned them during the pandemic, President Trump was not cajoling undecided lawmakers to embrace a critical stimulus bill to stabilize the foundering economy.",The New York Times,2020-08-03 23:41:38+00:00
69,There Are Two Ways Out of a Frog. This Beetle Chose the Back Door.,A researcher fed beetles to frogs. The encounter did not end as expected.,It’s a familiar story: Predator hunts prey. Predator catches prey. Predator gulps down prey.,The New York Times,2020-08-03 15:00:08+00:00
70,What’s on TV Saturday: ‘Seeing America With Megan Rapinoe’ and ‘The Last Narc’,"The soccer star and activist leads a discussion on HBO, and an Amazon docuseries looks back on the murder of a D.E.A. agent.","SEEING AMERICA WITH MEGAN RAPINOE 10 p.m. on HBO. Megan Rapinoe may be one of the biggest stars in sports following the United States women’s national soccer team’s 2019 World Cup victory. But she’s also an outspoken activist for equal pay, racial justice and L.G.B.T.Q. issues. On this special, Rapinoe engages in a discussion with Representative Alexandria Ocasio-Cortez, the comedian Hasan Minhaj and the New York Times journalist Nikole Hannah-Jones for a wide-ranging conversation about the upcoming election and societal issues the country is currently facing.",The New York Times,2020-08-01 05:00:07+00:00
71,"Like Old Hollywood Movies, Video Games Get a Polish for New Audiences",Game publishers are digging through their vaults to remake or remaster popular titles in a bid to kindle players’ nostalgia.,"Nostalgia has always been a powerful source of revenue for Hollywood. Turns out, it’s equally lucrative for video games.",The New York Times,2020-08-01 09:00:24+00:00
72,"TikTok, Coronavirus, Spearfishing: Your Tuesday Briefing",Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,2020-08-03 19:11:36+00:00
73,"D.A. Is Investigating Trump and His Company Over Fraud, Filing Suggests","The office of the district attorney, Cyrus R. Vance Jr., made the disclosure in a new court filing arguing Mr. Trump’s accountants should turn over his tax returns.","The Manhattan district attorney’s office suggested on Monday that it had been investigating President Trump and his company for possible bank and insurance fraud, a significantly broader inquiry than the prosecutors have acknowledged in the past.",The New York Times,2020-08-03 16:31:34+00:00
74,Let’s Scrap the Presidential Debates,They’ve become unrevealing quip contests.,Nervous managers of the scheduled 2020 presidential debates are shuffling the logistics and locations to deal with the threat of the coronavirus. But here’s a better idea: Scrap them altogether. And not for health reasons.,The New York Times,2020-08-03 09:00:18+00:00
75,Is Telemedicine Here to Stay?,The answer largely depends on whether Medicare and private health insurers will adequately cover virtual doctor visits once coronavirus outbreaks subside.,"Telemedicine is having its moment. Over the last few months, millions of people have relied on video or telephone calls to talk to their doctors. But as the pandemic moves across the United States, and eventually recedes in some places, how long will the moment last?",The New York Times,2020-08-03 06:30:09+00:00
76,"Lady Macbeth in Appalachia, and Other Tales by an American Master","With a new collection, “In the Valley,” Ron Rash revisits the monstrous protagonist of “Serena” and plumbs the depths of Southern hearts.","Nearly half of Ron Rash’s mesmerizing new story collection is devoted to the eponymous “In the Valley,” a sequel to his 2008 novel “Serena.” If you’ve read that book, you surely remain haunted by its mythic powers. Nominally the Depression-era story of a North Carolina logging heir who returns home from Boston with a daunting new bride, it invested the power-mad Serena Pemberton with otherworldly malign qualities and gave her a big swath of North Carolina’s Appalachian logging country to despoil.",The New York Times,2020-08-02 17:00:22+00:00
